country_code,bw,s1g_chan,s1g_op_class,global_op_class,centre_freq_mhz,duty_cycle_ap,duty_cycle_sta,country,tx_power_max,duty_cycle_omit_ctrl_resp,pkt_spacing_ms,airtime_min_ms,airtime_max_ms,map_5g_chan
AL,1,1,6,66,863.5,10.0,2.8,Albania,16.13,False,0.0,0.0,0.0,132
AL,1,3,6,66,864.5,10.0,2.8,Albania,16.13,False,0.0,0.0,0.0,136
AL,1,5,6,66,865.5,10.0,2.8,Albania,16.13,False,0.0,0.0,0.0,36
AL,1,7,6,66,866.5,10.0,2.8,Albania,16.13,False,0.0,0.0,0.0,40
AL,1,9,6,66,867.5,10.0,2.8,Albania,16.13,False,0.0,0.0,0.0,44
AL,2,2,7,67,864.0,10.0,2.8,Albania,16.13,False,0.0,0.0,0.0,134
AL,2,6,7,67,866.0,10.0,2.8,Albania,16.13,False,0.0,0.0,0.0,38
AR,1,27,1,68,915.5,100.0,100.0,Argentina,36.0,False,0.0,0.0,0.0,112
AR,1,29,1,68,916.5,100.0,100.0,Argentina,36.0,False,0.0,0.0,0.0,116
AR,1,31,1,68,917.5,100.0,100.0,Argentina,36.0,False,0.0,0.0,0.0,120
AR,1,33,1,68,918.5,100.0,100.0,Argentina,36.0,False,0.0,0.0,0.0,124
AR,1,35,1,68,919.5,100.0,100.0,Argentina,36.0,False,0.0,0.0,0.0,128
AR,1,37,1,68,920.5,100.0,100.0,Argentina,36.0,False,0.0,0.0,0.0,149
AR,1,39,1,68,921.5,100.0,100.0,Argentina,36.0,False,0.0,0.0,0.0,153
AR,1,41,1,68,922.5,100.0,100.0,Argentina,36.0,False,0.0,0.0,0.0,157
AR,1,43,1,68,923.5,100.0,100.0,Argentina,36.0,False,0.0,0.0,0.0,161
AR,1,45,1,68,924.5,100.0,100.0,Argentina,36.0,False,0.0,0.0,0.0,165
AR,1,47,1,68,925.5,100.0,100.0,Argentina,36.0,False,0.0,0.0,0.0,169
AR,1,49,1,68,926.5,100.0,100.0,Argentina,36.0,False,0.0,0.0,0.0,173
AR,1,51,1,68,927.5,100.0,100.0,Argentina,36.0,False,0.0,0.0,0.0,177
AR,2,30,2,69,917.0,100.0,100.0,Argentina,36.0,False,0.0,0.0,0.0,118
AR,2,34,2,69,919.0,100.0,100.0,Argentina,36.0,False,0.0,0.0,0.0,126
AR,2,38,2,69,921.0,100.0,100.0,Argentina,36.0,False,0.0,0.0,0.0,151
AR,2,42,2,69,923.0,100.0,100.0,Argentina,36.0,False,0.0,0.0,0.0,159
AR,2,46,2,69,925.0,100.0,100.0,Argentina,36.0,False,0.0,0.0,0.0,167
AR,2,50,2,69,927.0,100.0,100.0,Argentina,36.0,False,0.0,0.0,0.0,175
AR,4,32,3,70,918.0,100.0,100.0,Argentina,36.0,False,0.0,0.0,0.0,122
AR,4,40,3,70,922.0,100.0,100.0,Argentina,36.0,False,0.0,0.0,0.0,155
AR,4,48,3,70,926.0,100.0,100.0,Argentina,36.0,False,0.0,0.0,0.0,171
AR,8,44,4,71,924.0,100.0,100.0,Argentina,36.0,False,0.0,0.0,0.0,163
AT,1,1,6,66,863.5,10.0,2.8,Austria,16.13,False,0.0,0.0,0.0,132
AT,1,3,6,66,864.5,10.0,2.8,Austria,16.13,False,0.0,0.0,0.0,136
AT,1,5,6,66,865.5,10.0,2.8,Austria,16.13,False,0.0,0.0,0.0,36
AT,1,7,6,66,866.5,10.0,2.8,Austria,16.13,False,0.0,0.0,0.0,40
AT,1,9,6,66,867.5,10.0,2.8,Austria,16.13,False,0.0,0.0,0.0,44
AT,2,2,7,67,864.0,10.0,2.8,Austria,16.13,False,0.0,0.0,0.0,134
AT,2,6,7,67,866.0,10.0,2.8,Austria,16.13,False,0.0,0.0,0.0,38
AT,1,31,30,77,916.9,10.0,2.8,Austria,16.13,False,0.0,0.0,0.0,120
AT,1,33,30,77,917.9,10.0,2.8,Austria,16.13,False,0.0,0.0,0.0,124
AT,1,35,30,77,918.9,10.0,2.8,Austria,16.13,False,0.0,0.0,0.0,128
AU,1,27,22,68,915.5,100.0,100.0,Australia 2020,30.0,False,0.0,0.0,0.0,112
AU,1,29,22,68,916.5,100.0,100.0,Australia 2020,30.0,False,0.0,0.0,0.0,116
AU,1,31,22,68,917.5,100.0,100.0,Australia 2020,30.0,False,0.0,0.0,0.0,120
AU,1,33,22,68,918.5,100.0,100.0,Australia 2020,30.0,False,0.0,0.0,0.0,124
AU,1,35,22,68,919.5,100.0,100.0,Australia 2020,30.0,False,0.0,0.0,0.0,128
AU,1,37,22,68,920.5,100.0,100.0,Australia 2020,30.0,False,0.0,0.0,0.0,149
AU,1,39,22,68,921.5,100.0,100.0,Australia 2020,30.0,False,0.0,0.0,0.0,153
AU,1,41,22,68,922.5,100.0,100.0,Australia 2020,30.0,False,0.0,0.0,0.0,157
AU,1,43,22,68,923.5,100.0,100.0,Australia 2020,30.0,False,0.0,0.0,0.0,161
AU,1,45,22,68,924.5,100.0,100.0,Australia 2020,30.0,False,0.0,0.0,0.0,165
AU,1,47,22,68,925.5,100.0,100.0,Australia 2020,30.0,False,0.0,0.0,0.0,169
AU,1,49,22,68,926.5,100.0,100.0,Australia 2020,30.0,False,0.0,0.0,0.0,173
AU,1,51,22,68,927.5,100.0,100.0,Australia 2020,30.0,False,0.0,0.0,0.0,177
